path,annotator,value,emotion
00069,human-1,True,Emotional Numbness
00069,human-3,False,Interest
00070,human-1,True,Sadness
00070,human-5,False,Elation
00071,human-1,True,Intoxication/Altered States of Consciousness
00071,human-3,False,Concentration
00072,human-1,True,Longing
00072,human-3,False,Fatigue/Exhaustion
00073,human-1,True,Doubt
00073,human-3,False,Pride
00074,human-1,True,Teasing
00074,human-3,False,Embarrassment
00075,human-1,True,Shame
00075,human-5,False,Sexual Lust
00076,human-1,True,Distress
00076,human-4,False,Amusement
00077,human-1,True,Jealousy & Envy
00077,human-5,False,Thankfulness/Gratitude
00078,human-1,True,Contentment
00078,human-3,False,Anger
00079,human-1,True,Jealousy & Envy
00079,human-3,False,Thankfulness/Gratitude
00080,human-1,True,Fatigue/Exhaustion
00080,human-5,False,Longing
00081,human-1,False,Longing
00081,human-5,False,Fatigue/Exhaustion
00082,human-1,True,Infatuation
00082,human-3,False,Disgust
00083,human-1,True,Emotional Numbness
00083,human-3,False,Interest
00084,human-1,True,Interest
00084,human-5,False,Emotional Numbness
00085,human-1,True,Shame
00085,human-7,False,Sexual Lust
00086,human-1,True,Triumph
00086,human-3,False,Disappointment
00087,human-1,True,Concentration
00087,human-7,False,Intoxication/Altered States of Consciousness
00088,human-1,True,Intoxication/Altered States of Consciousness
00088,human-4,True,Concentration
00089,human-1,True,Shame
00089,human-5,False,Sexual Lust
00090,human-1,True,Amusement
00090,human-3,False,Distress
00091,human-1,True,Concentration
00091,human-4,False,Intoxication/Altered States of Consciousness
00092,human-1,True,Shame
00092,human-4,False,Sexual Lust
00093,human-1,True,Hope/Enthusiasm/Optimism
00093,human-3,False,Hopelessness
00094,human-1,True,Confusion
00094,human-7,False,Contemplation
00095,human-1,True,Doubt
00095,human-4,False,Pride
00096,human-1,True,Contempt
00096,human-4,False,Awe
00097,human-1,True,Thankfulness/Gratitude
00097,human-4,False,Jealousy & Envy
00098,human-1,True,Pain
00098,human-3,False,Relief
00099,human-1,True,Contemplation
00099,human-4,False,Confusion
00100,human-1,True,Disgust
00100,human-3,False,Infatuation
00101,human-1,True,Confusion
00101,human-3,False,Contemplation
00102,human-1,True,Doubt
00102,human-3,False,Pride
00103,human-1,True,Thankfulness/Gratitude
00103,human-3,False,Jealousy & Envy
00104,human-1,True,Awe
00104,human-7,False,Contempt
00105,human-1,True,Thankfulness/Gratitude
00105,human-3,False,Jealousy & Envy
00106,human-1,True,Interest
00106,human-7,True,Emotional Numbness
00107,human-1,True,Contemplation
00107,human-3,False,Confusion
00108,human-1,True,Interest
00108,human-5,False,Emotional Numbness
00109,human-1,True,Emotional Numbness
00109,human-5,False,Interest
00110,human-1,True,Pain
00110,human-3,False,Relief
00111,human-1,True,Triumph
00111,human-3,False,Disappointment
00112,human-1,True,Astonishment/Surprise
00112,human-5,False,Impatience and Irritability
00113,human-1,True,Contentment
00113,human-3,False,Anger
00114,human-1,True,Disgust
00114,human-3,False,Infatuation
00115,human-1,True,Embarrassment
00115,human-3,False,Teasing
00116,human-1,True,Relief
00116,human-3,False,Pain
00117,human-1,True,Fear
00117,human-7,False,Pleasure/Ecstasy
00118,human-1,True,Astonishment/Surprise
00118,human-3,False,Impatience and Irritability
00119,human-1,False,Sexual Lust
00119,human-5,False,Shame
00120,human-1,True,Concentration
00120,human-7,False,Intoxication/Altered States of Consciousness
00121,human-1,True,Doubt
00121,human-3,False,Pride
00122,human-1,False,Sexual Lust
00122,human-3,True,Shame
00123,human-1,True,Infatuation
00123,human-3,False,Disgust
00124,human-1,True,Emotional Numbness
00124,human-5,False,Interest
00125,human-1,True,Fear
00125,human-7,False,Pleasure/Ecstasy
00126,human-1,True,Sadness
00126,human-4,False,Elation
00127,human-1,True,Sourness
00127,human-3,False,Malevolence/Malice
00128,human-1,True,Shame
00128,human-4,False,Sexual Lust
00129,human-1,False,Sexual Lust
00129,human-4,True,Shame
00130,human-1,True,Sadness
00130,human-7,False,Elation
00131,human-1,False,Sadness
00131,human-3,False,Elation
00132,human-1,True,Infatuation
00132,human-3,False,Disgust
00133,human-1,True,Interest
00133,human-3,False,Emotional Numbness
00134,human-1,True,Intoxication/Altered States of Consciousness
00134,human-7,False,Concentration
00135,human-1,True,Hope/Enthusiasm/Optimism
00135,human-5,False,Hopelessness
00136,human-1,True,Thankfulness/Gratitude
00136,human-5,False,Jealousy & Envy
00137,human-1,True,Hope/Enthusiasm/Optimism
00137,human-5,False,Hopelessness
00138,human-1,True,Fatigue/Exhaustion
00138,human-5,False,Longing
00139,human-1,True,Concentration
00139,human-3,False,Intoxication/Altered States of Consciousness
00140,human-1,True,Embarrassment
00140,human-3,False,Teasing
00141,human-1,False,Sadness
00141,human-3,False,Elation
00142,human-1,True,Concentration
00142,human-3,False,Intoxication/Altered States of Consciousness
00143,human-1,True,Concentration
00143,human-3,False,Intoxication/Altered States of Consciousness
00144,human-1,True,Doubt
00144,human-3,False,Pride
00145,human-1,True,Concentration
00145,human-4,False,Intoxication/Altered States of Consciousness
00146,human-1,True,Elation
00146,human-3,False,Sadness
00147,human-1,True,Intoxication/Altered States of Consciousness
00147,human-3,False,Concentration
00148,human-1,True,Disgust
00148,human-7,False,Infatuation
00149,human-1,True,Contempt
00149,human-3,False,Awe
00150,human-1,True,Hope/Enthusiasm/Optimism
00150,human-3,False,Hopelessness
00151,human-1,True,Infatuation
00151,human-7,False,Disgust
00152,human-1,True,Fatigue/Exhaustion
00152,human-4,False,Longing
00153,human-1,True,Infatuation
00153,human-5,False,Disgust
00154,human-1,True,Astonishment/Surprise
00154,human-3,False,Impatience and Irritability
00155,human-1,True,Sexual Lust
00155,human-3,False,Shame
00156,human-1,False,Doubt
00156,human-4,False,Pride
00157,human-1,True,Confusion
00157,human-5,False,Contemplation
00158,human-1,True,Contemplation
00158,human-5,True,Confusion
00159,human-1,True,Contempt
00159,human-7,False,Awe
00160,human-1,True,Contemplation
00160,human-4,False,Confusion
00161,human-1,False,Sexual Lust
00161,human-3,True,Shame
00162,human-1,False,Disappointment
00162,human-3,False,Triumph
00163,human-1,True,Disgust
00163,human-7,False,Infatuation
00164,human-1,True,Fear
00164,human-7,False,Pleasure/Ecstasy
00165,human-1,True,Emotional Numbness
00165,human-5,False,Interest
00166,human-1,True,Doubt
00166,human-3,False,Pride
00167,human-1,True,Distress
00167,human-3,False,Amusement
00168,human-1,True,Emotional Numbness
00168,human-3,False,Interest
00169,human-1,True,Intoxication/Altered States of Consciousness
00169,human-5,False,Concentration
00170,human-1,True,Sadness
00170,human-7,False,Elation
00171,human-1,True,Teasing
00171,human-5,False,Embarrassment
00172,human-1,True,Concentration
00172,human-3,False,Intoxication/Altered States of Consciousness
00173,human-1,True,Relief
00173,human-4,False,Pain
00174,human-1,True,Shame
00174,human-3,False,Sexual Lust
00175,human-1,True,Shame
00175,human-5,False,Sexual Lust
00176,human-1,True,Bitterness
00176,human-3,False,Affection
00177,human-1,True,Sourness
00177,human-7,False,Malevolence/Malice
00178,human-1,True,Intoxication/Altered States of Consciousness
00178,human-5,False,Concentration
00179,human-1,True,Malevolence/Malice
00179,human-7,False,Sourness
00180,human-1,True,Longing
00180,human-3,False,Fatigue/Exhaustion
00181,human-1,True,Pride
00181,human-3,False,Doubt
00182,human-1,True,Confusion
00182,human-7,True,Contemplation
00183,human-1,False,Doubt
00183,human-4,False,Pride
00184,human-1,False,Disgust
00184,human-7,False,Infatuation
00185,human-1,True,Confusion
00185,human-5,False,Contemplation
00186,human-1,True,Teasing
00186,human-3,False,Embarrassment
00187,human-1,True,Pleasure/Ecstasy
00187,human-3,False,Fear
00188,human-1,True,Hope/Enthusiasm/Optimism
00188,human-3,False,Hopelessness
00189,human-1,True,Pain
00189,human-4,False,Relief
00190,human-1,True,Amusement
00190,human-3,False,Distress
00191,human-1,True,Contentment
00191,human-3,False,Anger
00192,human-1,True,Hopelessness
00192,human-4,False,Hope/Enthusiasm/Optimism
00193,human-1,True,Teasing
00193,human-3,False,Embarrassment
00194,human-1,True,Astonishment/Surprise
00194,human-7,False,Impatience and Irritability
00195,human-1,True,Sourness
00195,human-3,False,Malevolence/Malice
00196,human-1,True,Pain
00196,human-5,False,Relief
00197,human-1,True,Intoxication/Altered States of Consciousness
00197,human-3,False,Concentration
00198,human-1,True,Hope/Enthusiasm/Optimism
00198,human-5,False,Hopelessness
00199,human-1,True,Pleasure/Ecstasy
00199,human-3,False,Fear
00200,human-1,False,Anger
00200,human-4,False,Contentment
00201,human-1,True,Infatuation
00201,human-5,False,Disgust
00202,human-1,True,Contempt
00202,human-3,False,Awe
00203,human-1,True,Confusion
00203,human-4,False,Contemplation
00204,human-1,True,Disgust
00204,human-7,False,Infatuation
00205,human-1,True,Disgust
00205,human-5,False,Infatuation
00206,human-1,True,Sadness
00206,human-7,False,Elation
00207,human-1,True,Pleasure/Ecstasy
00207,human-5,False,Fear
00208,human-1,True,Amusement
00208,human-5,False,Distress
00209,human-1,True,Longing
00209,human-3,False,Fatigue/Exhaustion
00210,human-1,True,Contemplation
00210,human-7,False,Confusion
00211,human-1,True,Emotional Numbness
00211,human-7,True,Interest
00212,human-1,True,Doubt
00212,human-4,False,Pride
00213,human-1,True,Astonishment/Surprise
00213,human-3,False,Impatience and Irritability
00214,human-1,True,Intoxication/Altered States of Consciousness
00214,human-4,True,Concentration
00215,human-1,True,Disgust
00215,human-4,False,Infatuation
00216,human-1,True,Bitterness
00216,human-7,True,Affection
00217,human-1,True,Affection
00217,human-3,False,Bitterness
00218,human-1,True,Disgust
00218,human-3,False,Infatuation
00219,human-1,True,Intoxication/Altered States of Consciousness
00219,human-5,True,Concentration
00220,human-1,True,Infatuation
00220,human-3,False,Disgust
00221,human-1,True,Elation
00221,human-3,False,Sadness
00222,human-1,True,Embarrassment
00222,human-4,False,Teasing
00223,human-1,True,Pride
00223,human-4,False,Doubt
00224,human-1,True,Contempt
00224,human-3,False,Awe
00225,human-1,True,Fear
00225,human-7,False,Pleasure/Ecstasy
00226,human-1,True,Relief
00226,human-7,False,Pain
00227,human-1,True,Pain
00227,human-3,False,Relief
00228,human-1,True,Sexual Lust
00228,human-4,False,Shame
00229,human-1,True,Contentment
00229,human-7,False,Anger
00230,human-1,True,Awe
00230,human-5,False,Contempt
00231,human-1,True,Pride
00231,human-3,False,Doubt
00232,human-1,True,Longing
00232,human-5,False,Fatigue/Exhaustion
00233,human-1,True,Relief
00233,human-7,False,Pain
00234,human-1,True,Fatigue/Exhaustion
00234,human-3,False,Longing
00235,human-1,True,Impatience and Irritability
00235,human-4,True,Astonishment/Surprise
00236,human-1,True,Disappointment
00236,human-3,False,Triumph
00237,human-1,True,Shame
00237,human-4,False,Sexual Lust
00238,human-1,True,Confusion
00238,human-3,False,Contemplation
00239,human-1,True,Awe
00239,human-7,False,Contempt
00240,human-1,True,Jealousy & Envy
00240,human-3,False,Thankfulness/Gratitude
00241,human-1,True,Pride
00241,human-7,False,Doubt
00242,human-1,True,Teasing
00242,human-5,False,Embarrassment
00243,human-1,True,Affection
00243,human-3,False,Bitterness
00244,human-1,True,Malevolence/Malice
00244,human-3,False,Sourness
00245,human-1,True,Sadness
00245,human-7,False,Elation
00246,human-1,True,Hope/Enthusiasm/Optimism
00246,human-5,False,Hopelessness
00247,human-1,True,Infatuation
00247,human-7,False,Disgust
00248,human-1,True,Amusement
00248,human-4,False,Distress
00249,human-1,True,Contemplation
00249,human-4,False,Confusion
00250,human-1,True,Sadness
00250,human-3,False,Elation
00251,human-1,True,Doubt
00251,human-3,False,Pride
00252,human-1,True,Elation
00252,human-5,False,Sadness
00253,human-1,True,Fear
00253,human-7,False,Pleasure/Ecstasy
00254,human-1,True,Relief
00254,human-5,False,Pain
00255,human-1,True,Infatuation
00255,human-4,False,Disgust
00256,human-1,True,Distress
00256,human-3,False,Amusement
00257,human-1,True,Astonishment/Surprise
00257,human-3,False,Impatience and Irritability
00258,human-1,True,Thankfulness/Gratitude
00258,human-4,True,Jealousy & Envy
00259,human-1,True,Jealousy & Envy
00259,human-3,False,Thankfulness/Gratitude
00260,human-1,True,Thankfulness/Gratitude
00260,human-3,False,Jealousy & Envy
00261,human-1,True,Disappointment
00261,human-7,False,Triumph
00262,human-1,True,Bitterness
00262,human-3,False,Affection
00263,human-1,True,Awe
00263,human-3,False,Contempt
00264,human-1,True,Jealousy & Envy
00264,human-5,False,Thankfulness/Gratitude
00265,human-1,True,Longing
00265,human-5,False,Fatigue/Exhaustion
00266,human-1,True,Sexual Lust
00266,human-3,False,Shame
00267,human-1,True,Pride
00267,human-3,False,Doubt
00268,human-1,True,Embarrassment
00268,human-4,False,Teasing
00269,human-1,True,Malevolence/Malice
00269,human-4,False,Sourness
00270,human-1,True,Bitterness
00270,human-3,False,Affection
00271,human-1,True,Sourness
00271,human-3,False,Malevolence/Malice
00272,human-1,True,Relief
00272,human-3,False,Pain
00273,human-1,True,Pleasure/Ecstasy
00273,human-3,False,Fear
00274,human-1,True,Contemplation
00274,human-7,False,Confusion
00275,human-1,True,Pleasure/Ecstasy
00275,human-7,False,Fear
00276,human-1,True,Intoxication/Altered States of Consciousness
00276,human-3,True,Concentration
00277,human-1,True,Sadness
00277,human-7,False,Elation
00278,human-1,True,Jealousy & Envy
00278,human-4,False,Thankfulness/Gratitude
00279,human-1,True,Malevolence/Malice
00279,human-4,True,Sourness
00280,human-1,True,Elation
00280,human-4,False,Sadness
00281,human-1,True,Fear
00281,human-5,False,Pleasure/Ecstasy
00282,human-1,True,Pain
00282,human-7,False,Relief
00283,human-1,True,Fear
00283,human-5,False,Pleasure/Ecstasy
00284,human-1,True,Amusement
00284,human-4,False,Distress
00285,human-1,True,Sourness
00285,human-4,False,Malevolence/Malice
00286,human-1,True,Impatience and Irritability
00286,human-3,False,Astonishment/Surprise
00287,human-1,True,Distress
00287,human-3,False,Amusement
00288,human-1,True,Emotional Numbness
00288,human-3,False,Interest
00289,human-1,True,Triumph
00289,human-4,False,Disappointment
00290,human-1,True,Impatience and Irritability
00290,human-3,False,Astonishment/Surprise
00291,human-1,True,Affection
00291,human-3,False,Bitterness
00292,human-1,True,Confusion
00292,human-4,False,Contemplation
00293,human-1,True,Distress
00293,human-5,False,Amusement
00294,human-1,True,Distress
00294,human-7,False,Amusement
00295,human-1,True,Bitterness
00295,human-4,False,Affection
00296,human-1,True,Relief
00296,human-7,True,Pain
00297,human-1,True,Contempt
00297,human-3,False,Awe
00298,human-1,True,Doubt
00298,human-7,False,Pride
00299,human-1,True,Astonishment/Surprise
00299,human-3,False,Impatience and Irritability
00300,human-1,True,Contempt
00300,human-4,False,Awe
00301,human-1,True,Relief
00301,human-3,False,Pain
00302,human-1,True,Confusion
00302,human-7,False,Contemplation
00303,human-1,True,Awe
00303,human-5,False,Contempt
00304,human-1,True,Impatience and Irritability
00304,human-7,False,Astonishment/Surprise
00305,human-1,True,Intoxication/Altered States of Consciousness
00305,human-5,False,Concentration
00306,human-1,True,Disappointment
00306,human-4,False,Triumph
00307,human-1,True,Pride
00307,human-5,False,Doubt
00308,human-1,True,Pride
00308,human-3,False,Doubt
00309,human-1,False,Disgust
00309,human-3,False,Infatuation
00310,human-1,True,Malevolence/Malice
00310,human-3,True,Sourness
00311,human-1,True,Malevolence/Malice
00311,human-4,True,Sourness
00312,human-1,True,Infatuation
00312,human-3,False,Disgust
00313,human-1,True,Thankfulness/Gratitude
00313,human-3,False,Jealousy & Envy
00314,human-1,True,Triumph
00314,human-7,False,Disappointment
00315,human-1,True,Sadness
00315,human-5,False,Elation
00316,human-1,True,Jealousy & Envy
00316,human-5,False,Thankfulness/Gratitude
00317,human-1,True,Infatuation
00317,human-3,False,Disgust
00318,human-1,True,Teasing
00318,human-7,False,Embarrassment
00319,human-1,True,Jealousy & Envy
00319,human-4,False,Thankfulness/Gratitude
00320,human-1,True,Malevolence/Malice
00320,human-4,False,Sourness
00321,human-1,True,Relief
00321,human-7,False,Pain
00322,human-1,True,Amusement
00322,human-4,False,Distress
00323,human-1,True,Doubt
00323,human-7,True,Pride
00324,human-1,True,Interest
00324,human-3,False,Emotional Numbness
00325,human-1,True,Anger
00325,human-3,False,Contentment
00326,human-1,True,Relief
00326,human-3,False,Pain
00327,human-1,True,Hope/Enthusiasm/Optimism
00327,human-7,False,Hopelessness
00328,human-1,True,Pride
00328,human-3,False,Doubt
00329,human-1,False,Sexual Lust
00329,human-4,False,Shame
00330,human-1,True,Malevolence/Malice
00330,human-3,False,Sourness
00331,human-1,True,Doubt
00331,human-3,False,Pride
00332,human-1,True,Contemplation
00332,human-4,False,Confusion
00333,human-1,True,Fear
00333,human-3,False,Pleasure/Ecstasy
00334,human-1,True,Awe
00334,human-3,False,Contempt
00335,human-1,True,Awe
00335,human-4,False,Contempt
00336,human-1,True,Sourness
00336,human-7,False,Malevolence/Malice
00337,human-1,True,Affection
00337,human-7,False,Bitterness
00338,human-1,True,Fatigue/Exhaustion
00338,human-7,False,Longing
00339,human-1,True,Hope/Enthusiasm/Optimism
00339,human-3,False,Hopelessness
00340,human-1,True,Fear
00340,human-3,False,Pleasure/Ecstasy
00341,human-1,True,Contentment
00341,human-3,False,Anger
00342,human-1,True,Contemplation
00342,human-4,False,Confusion
00343,human-1,True,Fear
00343,human-3,False,Pleasure/Ecstasy
00344,human-1,True,Malevolence/Malice
00344,human-7,False,Sourness
00345,human-1,True,Awe
00345,human-5,False,Contempt
00346,human-1,True,Interest
00346,human-4,False,Emotional Numbness
00347,human-1,True,Doubt
00347,human-3,False,Pride
00348,human-1,True,Anger
00348,human-3,False,Contentment
00349,human-1,True,Thankfulness/Gratitude
00349,human-3,False,Jealousy & Envy
00350,human-1,True,Infatuation
00350,human-3,False,Disgust
00351,human-1,True,Distress
00351,human-4,False,Amusement
00352,human-1,True,Anger
00352,human-3,False,Contentment
00353,human-1,True,Interest
00353,human-5,False,Emotional Numbness
00354,human-1,True,Pain
00354,human-4,False,Relief
00355,human-1,True,Astonishment/Surprise
00355,human-7,False,Impatience and Irritability
00356,human-1,True,Anger
00356,human-4,False,Contentment
00357,human-1,True,Confusion
00357,human-7,False,Contemplation
00358,human-1,True,Interest
00358,human-3,False,Emotional Numbness
00359,human-1,True,Pleasure/Ecstasy
00359,human-3,False,Fear
00360,human-1,True,Amusement
00360,human-4,False,Distress
00361,human-1,True,Contempt
00361,human-3,False,Awe
00362,human-1,True,Distress
00362,human-5,False,Amusement
00363,human-1,True,Anger
00363,human-5,False,Contentment
00364,human-1,True,Concentration
00364,human-3,False,Intoxication/Altered States of Consciousness
00365,human-1,True,Anger
00365,human-5,False,Contentment
00366,human-1,True,Anger
00366,human-3,False,Contentment
00367,human-1,True,Concentration
00367,human-3,False,Intoxication/Altered States of Consciousness
00368,human-1,True,Teasing
00368,human-4,True,Embarrassment
00369,human-1,True,Hope/Enthusiasm/Optimism
00369,human-3,False,Hopelessness
00370,human-1,True,Fatigue/Exhaustion
00370,human-3,False,Longing
00371,human-1,True,Contentment
00371,human-3,False,Anger
00372,human-1,True,Jealousy & Envy
00372,human-3,False,Thankfulness/Gratitude
00373,human-1,True,Concentration
00373,human-3,False,Intoxication/Altered States of Consciousness
00374,human-1,True,Triumph
00374,human-3,False,Disappointment
00375,human-1,True,Disgust
00375,human-7,False,Infatuation
00376,human-1,True,Sadness
00376,human-3,False,Elation
00377,human-1,True,Triumph
00377,human-3,False,Disappointment
00378,human-1,True,Jealousy & Envy
00378,human-3,False,Thankfulness/Gratitude
00379,human-1,True,Fatigue/Exhaustion
00379,human-3,False,Longing
00380,human-1,True,Anger
00380,human-4,False,Contentment
00381,human-1,True,Malevolence/Malice
00381,human-3,False,Sourness
00382,human-1,True,Malevolence/Malice
00382,human-3,False,Sourness
00383,human-1,True,Pleasure/Ecstasy
00383,human-7,False,Fear
00384,human-1,True,Intoxication/Altered States of Consciousness
00384,human-3,False,Concentration
00385,human-1,True,Pleasure/Ecstasy
00385,human-5,False,Fear
00386,human-1,True,Awe
00386,human-3,False,Contempt
00387,human-1,True,Awe
00387,human-3,False,Contempt
00388,human-1,True,Thankfulness/Gratitude
00388,human-4,False,Jealousy & Envy
00389,human-1,True,Longing
00389,human-4,False,Fatigue/Exhaustion
00390,human-1,True,Sadness
00390,human-7,False,Elation
00391,human-1,True,Distress
00391,human-3,False,Amusement
00392,human-1,True,Pain
00392,human-3,False,Relief
00393,human-1,True,Anger
00393,human-7,False,Contentment
00394,human-1,True,Contemplation
00394,human-3,False,Confusion
00395,human-1,True,Jealousy & Envy
00395,human-3,False,Thankfulness/Gratitude
00396,human-1,True,Relief
00396,human-3,False,Pain
00397,human-1,True,Contempt
00397,human-3,False,Awe
00398,human-1,True,Shame
00398,human-3,False,Sexual Lust
00399,human-1,True,Contentment
00399,human-4,False,Anger
00400,human-1,False,Distress
00400,human-3,False,Amusement
00401,human-1,True,Confusion
00401,human-7,True,Contemplation
00402,human-1,True,Pleasure/Ecstasy
00402,human-7,False,Fear
00403,human-1,True,Sadness
00403,human-3,False,Elation
00404,human-1,True,Pleasure/Ecstasy
00404,human-4,False,Fear
00405,human-1,True,Disappointment
00405,human-7,False,Triumph
00406,human-1,True,Triumph
00406,human-4,False,Disappointment
00407,human-1,True,Disgust
00407,human-7,False,Infatuation
00408,human-1,True,Hopelessness
00408,human-3,False,Hope/Enthusiasm/Optimism
00409,human-1,True,Contentment
00409,human-7,False,Anger
00410,human-1,True,Sadness
00410,human-5,False,Elation
00411,human-1,True,Pain
00411,human-3,False,Relief
00412,human-1,True,Thankfulness/Gratitude
00412,human-3,False,Jealousy & Envy
00413,human-1,True,Contemplation
00413,human-5,False,Confusion
00414,human-1,True,Affection
00414,human-3,False,Bitterness
00415,human-1,True,Sourness
00415,human-3,False,Malevolence/Malice
00416,human-1,True,Distress
00416,human-3,False,Amusement
00417,human-1,True,Teasing
00417,human-3,False,Embarrassment
00418,human-1,True,Disappointment
00418,human-3,False,Triumph
00419,human-1,True,Impatience and Irritability
00419,human-5,False,Astonishment/Surprise
00420,human-1,True,Impatience and Irritability
00420,human-7,False,Astonishment/Surprise
00421,human-1,True,Fear
00421,human-7,True,Pleasure/Ecstasy
00422,human-1,True,Disgust
00422,human-4,False,Infatuation
00423,human-1,True,Distress
00423,human-4,False,Amusement
00424,human-1,True,Longing
00424,human-4,False,Fatigue/Exhaustion
00425,human-1,True,Triumph
00425,human-3,False,Disappointment
00426,human-1,False,Intoxication/Altered States of Consciousness
00426,human-3,False,Concentration
00427,human-1,False,Concentration
00427,human-3,False,Intoxication/Altered States of Consciousness
00428,human-1,True,Affection
00428,human-5,False,Bitterness
00429,human-1,True,Jealousy & Envy
00429,human-4,False,Thankfulness/Gratitude
00430,human-1,True,Triumph
00430,human-5,False,Disappointment
00431,human-1,True,Contentment
00431,human-7,False,Anger
00432,human-1,True,Contentment
00432,human-3,False,Anger
00433,human-1,True,Intoxication/Altered States of Consciousness
00433,human-3,False,Concentration
00434,human-1,True,Longing
00434,human-5,False,Fatigue/Exhaustion
00435,human-1,True,Affection
00435,human-5,False,Bitterness
00436,human-1,True,Disappointment
00436,human-3,False,Triumph
00437,human-1,True,Pride
00437,human-4,False,Doubt
00438,human-1,True,Concentration
00438,human-7,True,Intoxication/Altered States of Consciousness
00439,human-1,True,Fatigue/Exhaustion
00439,human-3,False,Longing
00440,human-1,True,Anger
00440,human-7,False,Contentment
00441,human-1,True,Infatuation
00441,human-3,False,Disgust
